"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Max Kepler","Twins","141","642","558","145","34","1","31","99","83","67","110","7","6","3","",".260",".344",".491",".835",".350","","118","1.4","5.9","","16.1","-0.4","3.7","","136.2","12144"
"Corey Seager","Dodgers","131","537","477","133","32","1","20","66","74","49","98","5","2","1","",".278",".348",".479",".827",".347","","117","1.5","-0.1","","13.7","6.5","3.6","","129.2","13624"
"Buster Posey","Giants","117","516","457","126","27","1","11","58","54","47","75","6","2","1","",".275",".347",".410",".758",".325","","103","-2.2","5.7","","-0.5","13.0","3.6","","275.2","9166"
"Bo Bichette","Blue Jays","143","662","601","166","42","3","22","94","72","45","134","5","24","9","",".275",".329",".465",".794",".333","","108","1.1","-0.7","","7.6","6.4","3.6","","56.8","19612"
"Giancarlo Stanton","Yankees","128","554","482","129","22","1","44","89","109","61","163","6","2","1","",".268",".355",".590",".945",".385","","143","-0.4","0.5","","29.9","-12.2","3.6","","65.4","4949"
"Gleyber Torres","Yankees","144","624","559","152","26","1","35","87","101","54","129","5","6","3","",".272",".340",".510",".850",".353","","121","-0.3","-8.4","","16.3","-1.2","3.6","","29.0","16997"
"J.D. Martinez","Red Sox","150","649","570","172","34","2","39","101","120","69","148","4","2","1","",".302",".378",".577",".955",".391","","142","-3.1","-0.4","","31.7","-17.5","3.6","","22.2","6184"
"Paul DeJong","Cardinals","150","646","578","146","31","1","30","78","93","52","152","10","7","3","",".253",".323",".465",".788",".330","","106","0.7","2.7","","5.5","10.2","3.6","","154.0","18015"
"Matt Olson","Athletics","147","635","552","141","29","1","38","90","105","68","157","10","1","1","",".255",".344",".516",".860",".355","","126","-0.7","5.7","","20.3","-6.5","3.5","","43.6","14344"
"Vladimir Guerrero Jr.","Blue Jays","138","596","531","157","32","2","25","80","89","55","94","5","3","1","",".296",".364",".502",".866",".363","","128","-1.6","-3.4","","19.7","-5.0","3.5","","63.6","19611"
"Jeff McNeil","Mets","143","644","580","167","36","3","20","88","72","41","86","14","8","4","",".289",".348",".463",".811",".342","","116","0.9","-0.4","","14.2","0.7","3.5","","74.6","15362"
"Paul Goldschmidt","Cardinals","150","664","568","155","29","2","31","91","93","84","159","6","5","2","",".273",".369",".495",".864",".362","","126","1.3","1.8","","24.3","-10.7","3.4","","57.8","9218"
