"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Sean Coyle","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".212",".276",".333",".609",".264","","60","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa548268"
"Brock Stassi","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".230",".317",".360",".677",".295","","81","0.0","0.0","","0.0","0.0","0.0","","999.0","12244"
"Anderson Miller","Royals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".233",".281",".355",".636",".272","","64","0.0","0.0","","0.0","0.0","0.0","","999.0","sa857824"
"J.J. Franco","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".222",".290",".308",".598",".264","","60","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa550147"
"Anfernee Seymour","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".230",".275",".314",".589",".256","","54","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa829114"
"Ray-Patrick Didder","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".204",".283",".292",".575",".255","","54","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa736824"
"Trevor Plouffe","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".205",".282",".363",".646",".277","","69","0.0","0.0","","0.0","0.0","0.0","","999.0","7462"
"Ryan Fitzgerald","Red Sox","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".231",".279",".316",".596",".258","","52","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3006218"
"Jason Leblebijian","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".215",".279",".331",".609",".265","","60","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa658622"
"Grant Williams","Red Sox","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".240",".279",".316",".595",".258","","52","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3006724"
"Christian Kelley","Pirates","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".206",".265",".306",".571",".249","","51","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa875583"
"Brandon Downes","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".213",".272",".366",".638",".272","","65","0.0","0.0","","0.0","0.0","0.0","","999.0","sa602678"
"Carlos Perez","White Sox","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".220",".257",".296",".553",".240","","46","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa828577"
"Nick Banks","Nationals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".246",".289",".365",".654",".280","","67","0.0","0.0","","0.0","0.0","0.0","","999.0","sa873982"
"Jeremy Pena","Astros","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".214",".263",".302",".565",".246","","52","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa876320"
"Dioner Navarro","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".213",".284",".337",".620",".270","","63","0.0","0.0","","0.0","0.0","0.0","","999.0","3179"
"Kyle Barrett","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".237",".288",".342",".630",".272","","65","0.0","0.0","","0.0","0.0","0.0","","999.0","sa858028"
"Jay Gonzalez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".230",".303",".315",".618",".272","","65","0.0","0.0","","0.0","0.0","0.0","","999.0","sa549777"
"Luke Dykstra","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".241",".280",".329",".609",".263","","59","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa829151"
"Nick Zammarelli III","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".230",".281",".354",".635",".272","","65","0.0","0.0","","0.0","0.0","0.0","","999.0","sa738401"
"Nick Buss","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".242",".297",".365",".662",".284","","73","0.0","0.0","","0.0","0.0","0.0","","999.0","6835"
"Trevor Brown","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".212",".267",".314",".581",".252","","52","0.0","0.0","","-0.1","0.0","0.0","","999.0","13895"
"Garabez Rosa","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".240",".265",".337",".602",".256","","55","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa455978"
"J.J. Hardy","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".223",".275",".338",".613",".264","","60","0.0","0.0","","-0.1","0.0","0.0","","999.0","3797"
"River Stevens","Padres","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".230",".282",".322",".604",".263","","61","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa658130"
"Ryan Gridley","Athletics","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".223",".265",".299",".564",".246","","52","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa915617"
"Cam Perkins","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".237",".291",".370",".661",".282","","72","0.0","0.0","","0.0","0.0","0.0","","999.0","13444"
"Alcides Escobar","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".234",".275",".328",".603",".259","","57","0.0","0.0","","-0.1","0.0","0.0","","999.0","6310"
"Kyle Waldrop","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".234",".291",".360",".651",".280","","71","0.0","0.0","","0.0","0.0","0.0","","999.0","11402"
"Greyson Jenista","Braves","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".289",".355",".644",".278","","67","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3007044"
"Michael Stefanic","Angels","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".227",".270",".296",".567",".247","","52","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3008479"
"Travis Taijeron","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".201",".290",".367",".657",".284","","73","0.0","0.0","","0.0","0.0","0.0","","999.0","11935"
"Lane Adams","Twins","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".214",".280",".352",".632",".273","","65","0.0","0.0","","0.0","0.0","0.0","","999.0","10767"
"Angelo Castellano","Royals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".218",".273",".310",".583",".254","","52","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa657521"
"Mylz Jones","Rockies","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".257",".292",".390",".682",".289","","61","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa875606"
"Danny Diekroeger","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".276",".333",".609",".263","","59","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa705811"
"Cornelius Randolph","Phillies","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".222",".289",".351",".640",".277","","67","0.0","0.0","","0.0","0.0","0.0","","999.0","sa874241"
"Nick Allen","Athletics","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".224",".266",".296",".563",".245","","51","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3004723"
"Juniel Querecuto","Diamondbacks","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".250",".289",".348",".637",".273","","64","0.0","0.0","","0.0","0.0","0.0","","999.0","12140"
"Stephen Bruno","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".231",".279",".332",".611",".264","","59","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa502917"
"Tim Arakawa","Angels","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".211",".283",".294",".577",".255","","57","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa875387"
"Connor Kopach","Mariners","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".204",".258",".303",".561",".244","","51","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3006791"
"Victor Acosta","Angels","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".227",".272",".317",".589",".255","","57","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa736917"
"Matt Dominguez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".230",".274",".367",".641",".273","","66","0.0","0.0","","0.0","0.0","0.0","","999.0","4903"
"Alex Perez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".226",".296",".294",".590",".262","","59","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa858057"
"Jordan Patterson","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".215",".281",".378",".658",".280","","70","0.0","0.0","","0.0","0.0","0.0","","999.0","15119"
"Luis Valenzuela","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".235",".267",".329",".595",".254","","53","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa658081"
"Riley Mahan","Marlins","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".226",".271",".334",".605",".260","","60","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa829844"
"Brandon Bednar","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".239",".278",".329",".608",".262","","59","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa737887"
"Brendon Sanger","Angels","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".204",".279",".326",".605",".264","","63","0.0","0.0","","0.0","0.0","0.0","","999.0","sa858055"
"Jordan Zimmerman","Angels","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".224",".265",".327",".592",".255","","57","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa915727"
"Michael Gettys","Padres","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".215",".263",".381",".643",".271","","66","0.0","0.0","","0.0","0.0","0.0","","999.0","sa828692"
"Carl Chester","Rays","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".230",".272",".338",".610",".262","","63","0.0","0.0","","0.0","0.0","0.0","","999.0","sa829813"
"John Polonius","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".220",".271",".316",".587",".255","","54","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa599310"
"Jayce Boyd","Mets","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".217",".283",".333",".617",".268","","67","0.0","0.0","","0.0","0.0","0.0","","999.0","sa502020"
"Steve Selsky","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".285",".367",".652",".279","","70","0.0","0.0","","0.0","0.0","0.0","","999.0","12957"
"Jose Caballero","Mariners","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".209",".265",".291",".556",".244","","51","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3004817"
"Hudson Potts","Padres","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".211",".264",".349",".613",".262","","60","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa917936"
"Preston Palmeiro","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".227",".272",".338",".609",".262","","58","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa857823"
"Jon Rosoff","Tigers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".210",".257",".302",".560",".243","","45","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3007635"
"Tyler Horan","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".214",".278",".354",".633",".272","","65","0.0","0.0","","0.0","0.0","0.0","","999.0","sa709555"
"Jeff McVaney","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".219",".294",".327",".622",".272","","65","0.0","0.0","","0.0","0.0","0.0","","999.0","sa658125"
"Micah Brown","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".214",".268",".343",".611",".262","","58","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3004286"
"Yhoxian Medina","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".226",".270",".318",".588",".255","","54","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa602515"
"Ryan Aguilar","Brewers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".217",".294",".344",".638",".277","","66","0.0","0.0","","0.0","0.0","0.0","","999.0","sa918712"
"David Thompson","Mets","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".210",".265",".333",".598",".257","","60","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa659290"
"Sharlon Schoop","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".211",".271",".314",".584",".255","","54","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa293531"
"Matt Holliday","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".224",".302",".383",".685",".294","","80","0.0","0.0","","0.0","0.0","0.0","","999.0","1873"
"Shane Opitz","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".216",".275",".304",".579",".253","","53","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa549070"
"Peter Bourjos","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".227",".273",".367",".640",".272","","65","0.0","0.0","","0.0","0.0","0.0","","999.0","2578"
"Andruw Monasterio","Indians","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".281",".302",".583",".256","","51","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa830359"
"Quinn Brodey","Mets","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".219",".273",".349",".622",".266","","66","0.0","0.0","","0.0","0.0","0.0","","999.0","sa829783"
"Rey Fuentes","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".237",".295",".340",".635",".275","","67","0.0","0.0","","0.0","0.0","0.0","","999.0","10329"
"Drew Stubbs","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".212",".297",".344",".641",".280","","70","0.0","0.0","","0.0","0.0","0.0","","999.0","9328"
"Luis Pintor","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".214",".273",".305",".578",".253","","53","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa918456"
"Javier Betancourt","Brewers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".230",".279",".341",".621",".267","","60","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa655912"
"John Riley","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".195",".256",".308",".563",".245","","47","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa738650"
"Preston Beck","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".289",".340",".628",".272","","65","0.0","0.0","","0.0","0.0","0.0","","999.0","sa621361"
"Jason Coats","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".230",".276",".391",".667",".282","","72","0.0","0.0","","0.0","0.0","0.0","","999.0","14282"
"Darwin Barney","Rangers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".243",".294",".347",".642",".277","","61","0.0","0.0","","-0.1","0.0","0.0","","999.0","2430"
"Corey Toups","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".208",".280",".315",".595",".261","","58","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa829321"
"Miguel Vargas","Dodgers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".229",".276",".323",".599",".259","","60","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3006896"
"Ezequiel Carrera","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".231",".300",".350",".650",".282","","72","0.0","0.0","","0.0","0.0","0.0","","999.0","9048"
"Chesny Young","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".237",".290",".306",".596",".262","","58","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa829085"
"Jose Miranda","Twins","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".231",".267",".336",".603",".259","","56","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa917952"
"Jose Vicente","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".207",".242",".334",".576",".245","","47","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa828860"
"Brendon Davis","Rangers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".218",".286",".312",".598",".263","","51","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa875089"
"Eddy Martinez","Cubs","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".224",".277",".365",".642",".274","","66","0.0","0.0","","0.0","0.0","0.0","","999.0","sa914203"
"Daniel De La Calle","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".201",".248",".322",".570",".245","","47","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa738529"
"Noel Cuevas","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".240",".289",".359",".648",".277","","69","0.0","0.0","","0.0","0.0","0.0","","999.0","11894"
"Daniel Robertson","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".238",".301",".342",".643",".280","","70","0.0","0.0","","0.0","0.0","0.0","","999.0","6266"
"LeDarious Clark","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".209",".275",".356",".631",".270","","64","0.0","0.0","","0.0","0.0","0.0","","999.0","sa875568"
"Nate Esposito","Royals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".211",".258",".302",".560",".243","","45","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa602817"
"Herlis Rodriguez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".219",".280",".353",".633",".270","","64","0.0","0.0","","0.0","0.0","0.0","","999.0","sa597740"
"Dickie Joe Thon","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".211",".262",".324",".586",".253","","52","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa548351"
"Johnny Davis","Rays","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".227",".278",".318",".595",".258","","60","0.0","0.0","","0.0","0.0","0.0","","999.0","15830"
"Dale Burdick","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".206",".277",".320",".597",".261","","57","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa829841"
"Luis Aviles Jr.","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".221",".270",".309",".579",".252","","52","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa738445"
"Justin Twine","Marlins","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".226",".267",".315",".582",".250","","54","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa828686"
"Keon Broxton","Brewers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".192",".275",".340",".615",".267","","60","0.0","0.0","","-0.1","0.0","0.0","","999.0","9253"
"Michael Beltre","Reds","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".299",".338",".638",".278","","65","0.0","0.0","","0.0","0.0","0.0","","999.0","sa736945"
"Kirk Nieuwenhuis","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".197",".297",".332",".630",".277","","68","0.0","0.0","","0.0","0.0","0.0","","999.0","6400"
"Hernan Iribarren","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".246",".295",".328",".622",".270","","64","0.0","0.0","","0.0","0.0","0.0","","999.0","4177"
"Jake Gatewood","Brewers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".205",".253",".355",".608",".258","","54","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa828685"
"Jake Romanski","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".222",".258",".311",".569",".245","","47","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa738897"
"Bo Way","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".240",".291",".333",".624",".270","","64","0.0","0.0","","0.0","0.0","0.0","","999.0","sa829126"
"Steven Baron","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".207",".270",".297",".567",".249","","50","0.0","0.0","","-0.1","0.0","0.0","","999.0","9787"
"Ruddy Giron","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".221",".261",".326",".587",".252","","52","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa830284"
"Luis Mendez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".218",".284",".309",".593",".260","","57","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa548109"
"Mason Robbins","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".250",".281",".351",".632",".269","","63","0.0","0.0","","0.0","0.0","0.0","","999.0","sa599191"
"Stone Garrett","Marlins","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".223",".262",".368",".630",".267","","65","0.0","0.0","","0.0","0.0","0.0","","999.0","sa829117"
"Jonathan Rodriguez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".223",".308",".366",".674",".291","","78","0.0","0.0","","0.0","0.0","0.0","","999.0","sa503023"
"Sal Giardina","Braves","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".212",".266",".307",".572",".250","","48","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa829575"
"Brett Eibner","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".206",".282",".354",".636",".275","","67","0.0","0.0","","0.0","0.0","0.0","","999.0","11369"
"Joe Rizzo","Mariners","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".222",".269",".309",".578",".250","","55","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa917934"
"Darick Hall","Phillies","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".219",".291",".409",".700",".295","","79","0.0","0.0","","0.0","0.0","0.0","","999.0","sa918293"
"Zach Welz","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".218",".282",".339",".621",".269","","63","0.0","0.0","","0.0","0.0","0.0","","999.0","sa883465"
"Nolan Fontana","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".196",".293",".301",".594",".265","","60","0.0","0.0","","-0.1","0.0","0.0","","999.0","13267"
"Taylor Motter","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".207",".276",".338",".614",".265","","61","0.0","0.0","","-0.1","0.0","0.0","","999.0","12399"
"Yunel Escobar","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".257",".315",".364",".679",".294","","79","0.0","0.0","","0.0","0.0","0.0","","999.0","4191"
"Courtney Hawkins","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".216",".262",".374",".637",".269","","63","0.0","0.0","","0.0","0.0","0.0","","999.0","sa657904"
"Ramon Cabrera","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".222",".271",".330",".601",".260","","57","0.0","0.0","","-0.1","0.0","0.0","","999.0","10327"
"Jose Antequera","Phillies","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".275",".314",".589",".256","","53","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa826778"
"Michael Papierski","Astros","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".179",".257",".268",".525",".235","","44","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa829203"
"Christopher Bec","Blue Jays","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".190",".256",".284",".540",".238","","43","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3006727"
"Travis Harrison","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".197",".280",".309",".590",".260","","57","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa597772"
"Corey Bird","Marlins","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".233",".285",".329",".614",".266","","65","0.0","0.0","","0.0","0.0","0.0","","999.0","sa874209"
"Nick Hundley","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".218",".268",".375",".643",".272","","65","0.0","0.0","","0.0","0.0","0.0","","999.0","3376"
"Isaac Galloway","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".219",".269",".352",".621",".266","","61","0.0","0.0","","0.0","0.0","0.0","","999.0","5238"
"Daniel Spingola","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".222",".280",".342",".623",".268","","63","0.0","0.0","","0.0","0.0","0.0","","999.0","sa829496"
"Kyle Wren","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".300",".311",".611",".270","","63","0.0","0.0","","0.0","0.0","0.0","","999.0","sa621577"
"Chris Williams","Twins","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".181",".249",".303",".551",".240","","44","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3007028"
"Manuel Melendez","Rockies","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".274",".305",".390",".695",".295","","65","0.0","0.0","","0.0","0.0","0.0","","999.0","sa828329"
"Dylan Davis","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".213",".272",".356",".629",".268","","63","0.0","0.0","","0.0","0.0","0.0","","999.0","sa709037"
"Robert Perez","Mariners","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".207",".258",".348",".606",".259","","61","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3002851"
"Marcus Greene Jr.","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".198",".254",".306",".560",".243","","46","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa659282"
"Brandon Grudzielanek","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".217",".266",".338",".604",".259","","56","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3005058"
"Tyler Hill","Royals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".234",".287",".328",".615",".267","","61","0.0","0.0","","0.0","0.0","0.0","","999.0","sa829481"
"Juan Kelly","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".227",".293",".384",".677",".289","","76","0.0","0.0","","0.0","0.0","0.0","","999.0","sa657541"
"Carlos Rincon","Dodgers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".207",".267",".357",".624",".266","","64","0.0","0.0","","0.0","0.0","0.0","","999.0","sa917319"
"Jemile Weeks","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".222",".291",".313",".604",".266","","61","0.0","0.0","","-0.1","0.0","0.0","","999.0","2498"
"Otto Lopez","Blue Jays","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".228",".264",".305",".569",".246","","49","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3004268"
"Juan Ciriaco","Giants","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".219",".267",".312",".579",".251","","54","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa226165"
"Yohel Pozo","Rangers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".227",".260",".327",".587",".252","","43","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa828445"
"Wynton Bernard","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".230",".284",".337",".621",".268","","62","0.0","0.0","","0.0","0.0","0.0","","999.0","sa658999"
"Chris Colabello","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".227",".296",".372",".668",".288","","75","0.0","0.0","","0.0","0.0","0.0","","999.0","13051"
"Sam Huff","Rangers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".208",".253",".342",".594",".252","","43","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa918046"
"Scott Burcham","Rockies","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".242",".296",".345",".641",".277","","53","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa875782"
"Luis Jean","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".271",".306",".576",".250","","51","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa657310"
"Eric Jagielo","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".203",".270",".327",".596",".259","","56","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa550383"
"Mark Contreras","Twins","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".212",".270",".350",".620",".265","","61","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3004164"
"Brett Siddall","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".220",".277",".348",".625",".268","","62","0.0","0.0","","0.0","0.0","0.0","","999.0","sa875635"
