pitch_type,pitch_name,release_speed,release_pos_x,release_pos_z,player_name,events,description,zone,stand,p_throws,type,,,,,,,,,,,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,,,,,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,,,,,,,,,,,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number
FF,4-Seam Fastball,92.5,2.3344,5.6282,Hyun-Jin Ryu,field_out,hit_into_play,4,R,L,X,,,,,,,,,,,6,ground_ball,2,2,2019,0.7426,0.9434,-0.5014,2.8202,null,null,null,1,6,Bot,107.98,157.98,,,,,190928_214517,-8.9128,-134.5326,-3.4835,10.9258,26.7171,-20.0343,3.6,1.69,8,88.1,-18.2,93.32,2091,6.613,,,,,,,,,,,53.8863,0.1,0.099,0,1,0,0,2,44,5
FC,Cutter,87.6,2.291,5.7786,Hyun-Jin Ryu,null,foul_tip,1,R,L,S,,,,,,,,,,,null,null,2,1,2019,-0.3252,0.5477,-0.4501,3.3452,null,null,null,1,6,Bot,null,null,,,,,190928_214452,-5.9454,-127.6376,-0.9952,-2.6071,20.9064,-26.1591,3.3253,1.5316,null,null,null,88.196,2147,6.139,,,,,,,,,,,54.3602,null,null,null,null,null,null,null,44,4
FC,Cutter,86.3,2.3857,5.8327,Hyun-Jin Ryu,null,ball,11,R,L,B,,,,,,,,,,,null,null,1,1,2019,-0.2958,0.5495,-0.6796,4.0046,null,null,null,1,6,Bot,null,null,,,,,190928_214435,-6.693,-125.7489,0.6273,-2.0986,20.1153,-26.5619,3.3975,1.6004,null,null,null,87.009,2168,6.199,,,,,,,,,,,54.3005,null,null,null,null,null,null,null,44,3
CU,Curveball,73.4,2.2311,5.9025,Hyun-Jin Ryu,null,called_strike,12,R,L,S,,,,,,,,,,,null,null,1,0,2019,-1.2744,-1.0937,0.9918,3.2526,null,null,null,1,6,Bot,null,null,,,,,190928_214419,-0.3614,-106.6073,3.7944,-9.3447,19.4329,-41.2131,3.3481,1.464,null,null,null,72.121,2667,5.552,,,,,,,,,,,54.9474,null,null,null,null,null,null,null,44,2
CH,Changeup,80.2,2.6287,5.6424,Hyun-Jin Ryu,null,ball,12,R,L,B,,,,,,,,,,,null,null,0,0,2019,1.1731,0.4591,0.9612,3.4522,null,null,null,1,6,Bot,null,null,,,,,190928_214401,-5.8923,-116.7086,0.996,11.7957,22.1568,-28.4055,3.3984,1.5986,null,null,null,80.132,1429,6.26,,,,,,,,,,,54.2399,null,null,null,null,null,null,null,44,1
CH,Changeup,81.5,2.6716,5.6198,Hyun-Jin Ryu,strikeout,swinging_strike,14,R,L,S,,,,,,,,,,,2,null,1,2,2019,1.4149,0.3751,1.2764,2.0881,null,null,null,0,6,Bot,null,null,,,,,190928_214332,-5.8849,-118.5967,-2.1072,14.531,21.4056,-28.4191,3.3427,1.5371,null,null,null,81.982,1651,6.487,,,,,,,,,,,54.0125,null,null,0,1,0,0,null,43,4
CH,Changeup,82.9,2.3361,5.7122,Hyun-Jin Ryu,null,swinging_strike,13,R,L,S,,,,,,,,,,,null,null,1,1,2019,1.0031,0.6574,-0.1403,1.1681,null,null,null,0,6,Bot,null,null,,,,,190928_214312,-7.6571,-120.57,-5.2632,11.257,21.236,-24.9398,3.0693,1.4094,null,null,null,83.524,1722,6.52,,,,,,,,,,,53.9794,null,null,null,null,null,null,null,43,3
FF,4-Seam Fastball,90,2.3241,5.803,Hyun-Jin Ryu,null,ball,12,R,L,B,,,,,,,,,,,null,null,0,1,2019,0.6769,1.0596,0.326,3.7956,null,null,null,0,6,Bot,null,null,,,,,190928_214258,-6.4072,-130.8885,-1.2397,9.1719,28.5086,-19.9488,3.0974,1.4919,null,null,null,90.031,2094,6.413,,,,,,,,,,,54.087,null,null,null,null,null,null,null,43,2
FC,Cutter,86.5,2.2502,5.8868,Hyun-Jin Ryu,null,called_strike,2,R,L,S,,,,,,,,,,,null,null,0,0,2019,-0.0307,0.8282,-0.1049,2.7574,null,null,null,0,6,Bot,null,null,,,,,190928_214243,-5.5656,-125.9861,-3.0476,0.6183,21.4787,-22.9064,3.1032,1.4397,null,null,null,87.262,2074,6.364,,,,,,,,,,,54.1353,null,null,null,null,null,null,null,43,1
FC,Cutter,88.1,2.2753,5.8302,Hyun-Jin Ryu,force_out,hit_into_play,4,R,L,X,,,,,,,,,,,5,ground_ball,0,0,2019,-0.2567,0.6429,-0.7942,2.093,null,572073,657277,2,5,Bot,99.66,163.9,,,,,190928_213008,-6.9128,-128.2345,-4.386,-1.6378,22.4167,-24.4669,3.08,1.45,4,54.1,-24.4,88.494,2082,6.177,,,,,,,,,,,54.3229,0.098,0.084,0,1,0,0,1,38,1
FF,4-Seam Fastball,90.9,2.4377,5.559,Hyun-Jin Ryu,single,hit_into_play_no_out,6,R,L,X,,,,,,,,,,,9,line_drive,0,0,2019,0.9181,0.8682,0.4917,2.4191,null,null,572073,2,5,Bot,187.43,99.34,,,,,190928_212918,-6.9245,-132.3655,-3.9172,12.3525,26.2212,-21.1976,3.4839,1.6532,226,100.2,10.4,91.911,2061,6.698,,,,,,,,,,,53.802,0.832,0.731,0.9,1,1,0,4,37,1
FF,4-Seam Fastball,93.1,2.3649,5.5994,Hyun-Jin Ryu,single,hit_into_play_no_out,12,R,L,X,,,,,,,,,,,7,line_drive,2,2,2019,0.8591,0.8916,0.2234,3.3425,null,null,null,2,5,Bot,86.61,102.01,,,,,190928_212844,-7.4304,-135.4554,-2.0341,12.219,27.6001,-20.8397,3.1592,1.5033,250,91.7,18,93.807,2148,6.562,,,,,,,,,,,53.937,0.542,0.535,0.9,1,1,0,4,36,5
CH,Changeup,84.1,2.5613,5.5796,Hyun-Jin Ryu,null,swinging_strike,3,R,L,S,,,,,,,,,,,null,null,2,1,2019,1.3424,0.4746,0.5367,2.5838,null,null,null,2,5,Bot,null,null,,,,,190928_212812,-7.4104,-122.3198,-1.4832,15.0479,24.9239,-27.2961,3.0378,1.4643,null,null,null,84.365,1715,6.564,,,,,,,,,,,53.9357,null,null,null,null,null,null,null,36,4
FT,2-Seam Fastball,92.6,2.3564,5.5725,Hyun-Jin Ryu,null,foul_tip,6,R,L,S,,,,,,,,,,,null,null,2,0,2019,1.4425,0.5579,0.7623,2.2002,null,null,null,2,5,Bot,null,null,,,,,190928_212755,-7.2764,-134.677,-4.0477,19.2622,29.056,-24.6602,3.1694,1.4602,null,null,null,93.049,2125,6.57,,,,,,,,,,,53.93,null,null,null,null,null,null,null,36,3
FC,Cutter,86.8,2.2946,5.7853,Hyun-Jin Ryu,null,ball,12,R,L,B,,,,,,,,,,,null,null,1,0,2019,-0.295,0.6003,0.8974,4.7814,null,null,null,2,5,Bot,null,null,,,,,190928_212736,-2.7383,-126.437,2.4702,-2.6836,22.1958,-26.3668,3.2609,1.5157,null,null,null,87.017,2153,6.062,,,,,,,,,,,54.438,null,null,null,null,null,null,null,36,2
FT,2-Seam Fastball,91.5,2.4518,5.6077,Hyun-Jin Ryu,null,ball,12,R,L,B,,,,,,,,,,,null,null,0,0,2019,1.4313,0.7904,0.8055,3.5848,null,null,null,2,5,Bot,null,null,,,,,190928_212719,-7.3106,-133.1031,-0.9402,18.737,29.1084,-22.7089,3.2691,1.5293,null,null,null,91.933,2141,6.61,,,,,,,,,,,53.8897,null,null,null,null,null,null,null,36,1
FF,4-Seam Fastball,91.8,2.36,5.6017,Hyun-Jin Ryu,field_out,hit_into_play,4,R,L,X,,,,,,,,,,,4,ground_ball,1,1,2019,0.7614,0.879,-0.7203,2.5554,null,null,null,1,5,Bot,135.89,139.74,,,,,190928_212640,-9.4694,-133.498,-3.8168,11.0446,25.9772,-20.9974,3.6706,1.7531,146,83,9.8,92.383,2121,6.458,,,,,,,,,,,54.0418,0.468,0.395,0,1,0,0,4,35,3
FC,Cutter,87.1,2.366,5.7665,Hyun-Jin Ryu,null,swinging_strike,2,R,L,S,,,,,,,,,,,null,null,1,0,2019,-0.2369,0.4741,-0.167,3.302,null,null,null,1,5,Bot,null,null,,,,,190928_212616,-5.5871,-126.8017,-0.7795,-1.5323,23.2491,-27.1158,3.5716,1.755,null,null,null,87.286,2085,6.151,,,,,,,,,,,54.3484,null,null,null,null,null,null,null,35,2
