pitch_type,pitch_name,release_speed,release_pos_x,release_pos_z,player_name,events,description,zone,stand,p_throws,type,,,,,,,,,,,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,,,,,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,,,,,,,,,,,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number
FC,Cutter,83.6,2.1745,5.8603,Hyun-Jin Ryu,null,foul,2,L,L,S,,,,,,,,,,,null,null,1,2,2019,-0.1863,0.1323,-0.2243,3.0601,null,null,null,2,4,Top,null,null,,,,,190922_210541,-5.1556,-121.8685,-0.4255,-1.0482,19.3283,-30.9648,3.5,1.64,null,null,null,84.109,2179,6.098,,,,,,,,,,,54.4012,null,null,null,null,null,null,null,26,4
FF,4-Seam Fastball,92.9,2.1665,5.7697,Hyun-Jin Ryu,null,ball,13,L,L,B,,,,,,,,,,,null,null,0,2,2019,0.6914,0.6509,-1.5885,1.9588,null,null,null,2,4,Top,null,null,,,,,190922_210521,-11.2217,-134.9156,-5.5008,10.7608,25.465,-23.1679,3.6635,1.67,null,null,null,93.987,2003,6.741,,,,,,,,,,,53.759,null,null,null,null,null,null,null,26,3
CU,Curveball,75.1,2.1603,5.9391,Hyun-Jin Ryu,null,called_strike,2,L,L,S,,,,,,,,,,,null,null,0,1,2019,-1.2319,-0.9101,-0.0203,3.3788,null,null,null,2,4,Top,null,null,,,,,190922_210456,-2.3562,-109.1259,3.3997,-9.2187,19.2217,-40.1368,3.6254,1.6899,null,null,null,74.25,2691,5.739,,,,,,,,,,,54.7605,null,null,null,null,null,null,null,26,2
FT,2-Seam Fastball,91,2.521,5.7618,Hyun-Jin Ryu,null,foul,3,L,L,S,,,,,,,,,,,null,null,0,0,2019,1.1804,0.573,0.655,3.1214,null,null,null,2,4,Top,null,null,,,,,190922_210436,-7.2334,-132.5157,-2.0538,15.3972,23.6573,-25.1363,3.5,1.64,106,76.1,8.7,91.881,2013,6.413,,,,,,,,,,,54.0863,null,null,null,null,null,null,null,26,1
CH,Changeup,82.3,2.5263,5.6093,Hyun-Jin Ryu,grounded_into_double_play,hit_into_play,9,R,L,X,,,,,,,,,,,6,ground_ball,0,2,2019,0.9519,0.3643,0.6089,1.6442,null,null,571448,0,4,Top,107.88,162.26,,,,,190922_210352,-6.2125,-119.8094,-3.2505,10.3306,20.7773,-28.2588,3.35,1.57,5,97,-17.6,82.853,1443,6.406,,,,,,,,,,,54.0931,0.16,0.132,0,1,0,0,2,25,3
CH,Changeup,81.7,2.7355,5.6577,Hyun-Jin Ryu,null,swinging_strike,9,R,L,S,,,,,,,,,,,null,null,0,1,2019,0.8351,0.4356,0.5542,2.0818,null,null,571448,0,4,Top,null,null,,,,,190922_210323,-6.5941,-118.9605,-2.4282,9.2074,19.964,-27.7127,3.35,1.57,null,null,null,82.79,1454,6.703,,,,,,,,,,,53.7963,null,null,null,null,null,null,null,25,2
FF,4-Seam Fastball,89.7,2.4435,5.82,Hyun-Jin Ryu,null,foul,12,R,L,S,,,,,,,,,,,null,null,0,0,2019,0.9849,1.1388,0.0378,3.8734,null,null,571448,0,4,Top,null,null,,,,,190922_210301,-8.1274,-130.5802,-1.3225,13.0539,25.1916,-18.8172,3.4465,1.6326,null,null,null,90.765,2060,6.727,,,,,,,,,,,53.7724,null,null,null,null,null,null,null,25,1
CH,Changeup,81.6,2.4555,5.7536,Hyun-Jin Ryu,single,hit_into_play_no_out,14,R,L,X,,,,,,,,,,,8,ground_ball,0,0,2019,1.0666,0.3372,1.4766,2.3981,null,null,null,0,4,Top,140.49,118.03,,,,,190922_210219,-4.3997,-118.9843,-1.7268,11.2697,21.2515,-28.7114,3.33,1.6,146,66.6,14.6,83.353,1416,7.184,,,,,,,,,,,53.3154,0.418,0.396,0.9,1,1,0,2,24,1
FT,2-Seam Fastball,91.3,2.4103,5.7462,Hyun-Jin Ryu,field_out,hit_into_play,8,R,L,X,,,,,,,,,,,4,ground_ball,0,0,2019,1.2427,0.591,0.1573,1.9314,null,null,null,2,3,Top,137.93,143.65,,,,,190922_205301,-8.4448,-132.7945,-5.1169,16.607,24.2434,-24.2415,3.38,1.6,42,91.3,-0.5,92.56,1993,6.737,,,,,,,,,,,53.7621,0.305,0.268,0,1,0,0,2,20,1
FF,4-Seam Fastball,91.9,2.3523,5.8009,Hyun-Jin Ryu,strikeout,swinging_strike,2,R,L,S,,,,,,,,,,,2,null,2,2,2019,0.9598,0.9,-0.0192,3.3894,null,null,null,1,3,Top,null,null,,,,,190922_205222,-8.2012,-133.741,-2.3324,13.3619,25.2245,-20.821,3.38,1.6,null,null,null,93.273,2143,6.817,,,,,,,,,,,53.6828,null,null,0,1,0,0,null,19,5
CU,Curveball,75.9,2.0337,6.0332,Hyun-Jin Ryu,null,ball,13,R,L,B,,,,,,,,,,,null,null,1,2,2019,-0.9548,-1.2066,-0.8434,0.0981,null,null,null,1,3,Top,null,null,,,,,190922_205154,-4.3109,-110.4637,-3.1526,-6.8902,20.8757,-41.558,3.5104,1.628,null,null,null,75.428,2786,6.073,,,,,,,,,,,54.4265,null,null,null,null,null,null,null,19,4
CH,Changeup,82.8,2.515,5.6715,Hyun-Jin Ryu,null,foul,14,R,L,S,,,,,,,,,,,null,null,1,1,2019,1.086,0.3245,0.8087,1.4838,null,null,null,1,3,Top,null,null,,,,,190922_205136,-6.0729,-120.6748,-3.8706,11.8101,18.9314,-28.4852,3.43,1.62,223,78.4,49.4,84.061,1424,6.603,,,,,,,,,,,53.8964,null,null,null,null,null,null,null,19,3
FF,4-Seam Fastball,90.5,2.4064,5.7496,Hyun-Jin Ryu,null,ball,11,R,L,B,,,,,,,,,,,null,null,0,1,2019,0.7545,1.1787,-0.0137,4.1595,null,null,null,1,3,Top,null,null,,,,,190922_205114,-7.7563,-131.8719,-0.6801,10.4536,24.1056,-18.0972,3.5582,1.7366,null,null,null,92.001,2002,6.803,,,,,,,,,,,53.6965,null,null,null,null,null,null,null,19,2
CU,Curveball,71,2.2135,5.9281,Hyun-Jin Ryu,null,called_strike,6,R,L,S,,,,,,,,,,,null,null,0,0,2019,-0.9455,-1.2202,0.6243,2.0888,null,null,null,1,3,Top,null,null,,,,,190922_205053,-1.5483,-103.301,2.0161,-6.3744,17.11,-41.309,3.2425,1.4537,null,null,null,70.313,2626,5.745,,,,,,,,,,,54.7542,null,null,null,null,null,null,null,19,1
CU,Curveball,72.1,2.337,6.0111,Hyun-Jin Ryu,strikeout,swinging_strike,7,R,L,S,,,,,,,,,,,2,null,0,2,2019,-0.9399,-1.0875,-0.6554,1.9578,null,null,null,0,3,Top,null,null,,,,,190922_205011,-4.3505,-104.8995,1.237,-6.1434,17.9594,-40.5822,3.34,1.56,null,null,null,71.901,2610,6.173,,,,,,,,,,,54.3264,null,null,0,1,0,0,null,18,3
CH,Changeup,80.8,2.4476,5.8328,Hyun-Jin Ryu,null,swinging_strike,9,R,L,S,,,,,,,,,,,null,null,0,1,2019,0.9366,0.287,0.4143,1.5957,null,null,null,0,3,Top,null,null,,,,,190922_204950,-6.3077,-117.5612,-3.4126,9.7975,19.4344,-29.1164,3.34,1.56,null,null,null,81.246,1400,6.315,,,,,,,,,,,54.1847,null,null,null,null,null,null,null,18,2
FT,2-Seam Fastball,88.6,2.4694,5.8191,Hyun-Jin Ryu,null,called_strike,9,R,L,S,,,,,,,,,,,null,null,0,0,2019,1.1397,0.4881,0.74,2.3581,null,null,null,0,3,Top,null,null,,,,,190922_204936,-6.6468,-129.0492,-3.5399,14.115,22.1452,-26.1797,3.7329,1.7937,null,null,null,89.69,1998,6.519,,,,,,,,,,,53.9803,null,null,null,null,null,null,null,18,1
CH,Changeup,81.2,2.5096,5.6753,Hyun-Jin Ryu,strikeout,swinging_strike,14,R,L,S,,,,,,,,,,,2,null,0,2,2019,1.2179,0.4381,0.6983,1.367,null,null,null,2,2,Top,null,null,,,,,190922_203325,-6.4897,-118.2129,-3.9698,12.8108,20.7811,-27.4546,3.87,1.83,null,null,null,82.276,1603,6.812,,,,,,,,,,,53.6878,null,null,0,1,0,0,null,11,3
FF,4-Seam Fastball,90.3,2.4709,5.7644,Hyun-Jin Ryu,null,foul,2,R,L,S,,,,,,,,,,,null,null,0,1,2019,0.7966,1.1303,-0.0972,3.2015,null,null,null,2,2,Top,null,null,,,,,190922_203302,-8.186,-131.3823,-2.9336,11.0176,25.7505,-18.421,3.13,1.48,223,78.6,53.9,91.365,2126,6.772,,,,,,,,,,,53.7271,null,null,null,null,null,null,null,11,2
FF,4-Seam Fastball,90,2.3501,5.7843,Hyun-Jin Ryu,null,called_strike,5,R,L,S,,,,,,,,,,,null,null,0,0,2019,0.7266,1.1002,-0.0405,2.447,null,null,null,2,2,Top,null,null,,,,,190922_203238,-7.5477,-131.0595,-4.7793,9.9457,24.3461,-18.524,3.13,1.5404,null,null,null,91.146,2109,6.673,,,,,,,,,,,53.826,null,null,null,null,null,null,null,11,1
FT,2-Seam Fastball,89.5,2.3186,5.8128,Hyun-Jin Ryu,field_out,hit_into_play,3,L,L,X,,,,,,,,,,,3,ground_ball,0,1,2019,1.4112,0.7871,0.7144,2.9154,null,null,null,1,2,Top,159.59,163.27,,,,,190922_203157,-6.9255,-130.1633,-2.8225,17.457,25.9834,-22.8505,3.41,1.6,11,78,-14.1,89.666,2029,6.312,,,,,,,,,,,54.1871,0.08,0.073,0,1,0,0,2,10,2
FF,4-Seam Fastball,89.9,2.2822,5.8061,Hyun-Jin Ryu,null,called_strike,4,L,L,S,,,,,,,,,,,null,null,0,0,2019,1.1086,1.2618,-0.5844,2.5473,null,null,null,1,2,Top,null,null,,,,,190922_203139,-9.5633,-130.6705,-4.8808,14.8145,25.2514,-16.6497,3.4196,1.6312,null,null,null,90.901,2180,6.774,,,,,,,,,,,53.726,null,null,null,null,null,null,null,10,1
CH,Changeup,80.9,2.624,5.8518,Hyun-Jin Ryu,field_out,hit_into_play,14,R,L,X,,,,,,,,,,,9,line_drive,0,1,2019,1.0774,0.5843,1.3563,2.1327,null,null,null,0,2,Top,180.38,92.71,,,,,190922_203113,-4.8906,-117.7999,-2.8173,10.954,21.0831,-26.4056,3.41,1.6,283,82.2,23.9,81.262,1457,6.369,,,,,,,,,,,54.1303,0.318,0.303,0,1,0,0,3,9,2
FT,2-Seam Fastball,89.3,2.3479,5.9124,Hyun-Jin Ryu,null,swinging_strike,14,R,L,S,,,,,,,,,,,null,null,0,0,2019,1.4509,0.8026,1.3594,2.0802,null,null,null,0,2,Top,null,null,,,,,190922_203048,-5.466,-129.8558,-5.0931,17.5011,26.7708,-22.2827,3.51,1.63,null,null,null,89.236,2026,6.253,,,,,,,,,,,54.2467,null,null,null,null,null,null,null,9,1
CH,Changeup,80.1,2.438,5.7153,Hyun-Jin Ryu,strikeout,called_strike,7,L,L,S,,,,,,,,,,,2,null,2,2,2019,0.8088,0.6881,-0.3529,1.9321,null,null,571448,2,1,Top,null,null,,,,,190922_202113,-7.8648,-116.6154,-3.039,9.0553,21.7347,-25.3231,3.51,1.6015,null,null,null,81.425,1509,7.14,,,,,,,,,,,53.359,null,null,0,1,0,0,null,5,5
CH,Changeup,81.5,2.456,5.6864,Hyun-Jin Ryu,null,ball,13,L,L,B,,,,,,,,,,,null,null,1,2,2019,0.6154,1.1298,-0.9039,1.5262,null,null,571448,2,1,Top,null,null,,,,,190922_202047,-8.8932,-118.4261,-5.0638,7.5896,21.5582,-20.4568,3.5,1.558,null,null,null,82.803,1699,7.13,,,,,,,,,,,53.3693,null,null,null,null,null,null,null,5,4
FT,2-Seam Fastball,90.3,2.3747,5.8559,Hyun-Jin Ryu,null,ball,12,L,L,B,,,,,,,,,,,null,null,0,2,2019,1.0685,0.7835,1.2019,4.3293,null,null,571448,2,1,Top,null,null,,,,,190922_202028,-5.2398,-131.5024,0.4251,13.5855,25.8411,-23.2399,3.5374,1.5765,null,null,null,91.096,1986,6.565,,,,,,,,,,,53.9345,null,null,null,null,null,null,null,5,3
FT,2-Seam Fastball,89.9,2.2766,5.8117,Hyun-Jin Ryu,null,foul,6,L,L,S,,,,,,,,,,,null,null,0,1,2019,1.1657,0.7507,0.3358,2.8478,null,null,571448,2,1,Top,null,null,,,,,190922_202007,-7.3284,-130.9071,-3.0486,14.971,24.7101,-23.032,3.5,1.64,190,74.5,23.3,90.735,1977,6.524,,,,,,,,,,,53.9752,null,null,null,null,null,null,null,5,2
CU,Curveball,74.2,2.2411,5.9544,Hyun-Jin Ryu,null,foul,5,L,L,S,,,,,,,,,,,null,null,0,0,2019,-1.0025,-1.038,-0.0072,2.8206,null,null,571448,2,1,Top,null,null,,,,,190922_201948,-2.8539,-107.9068,2.57,-7.2304,18.2333,-40.8276,3.5,1.64,274,83.4,41.8,73.659,2653,5.853,,,,,,,,,,,54.6466,null,null,null,null,null,null,null,5,1
FT,2-Seam Fastball,90.8,2.4588,5.6909,Hyun-Jin Ryu,field_out,hit_into_play,8,R,L,X,,,,,,,,,,,9,fly_ball,3,2,2019,1.3027,0.7916,0.1307,1.9071,null,null,571448,1,1,Top,208.99,96.08,,,,,190922_201910,-8.6387,-131.9698,-5.2945,17.0548,25.7038,-21.9934,3.35,1.57,311,90.2,39.6,91.285,2001,6.459,,,,,,,,,,,54.041,0.018,0.027,0,1,0,0,3,4,6
CH,Changeup,81,2.5617,5.6762,Hyun-Jin Ryu,null,ball,14,R,L,B,,,,,,,,,,,null,null,2,2,2019,0.9488,-0.003,1.5355,1.64,null,null,571448,1,1,Top,null,null,,,,,190922_201827,-4.1652,-118.0438,-2.5026,9.7628,19.2535,-31.962,3.3995,1.5295,null,null,null,82.252,1329,6.729,,,,,,,,,,,53.7702,null,null,null,null,null,null,null,4,5
CH,Changeup,81.6,2.4768,5.7462,Hyun-Jin Ryu,null,ball,14,R,L,B,,,,,,,,,,,null,null,1,2,2019,0.9732,0.1616,1.4423,2.3767,null,null,571448,1,1,Top,null,null,,,,,190922_201807,-4.2546,-118.9101,-1.4072,10.1373,20.2006,-30.5476,3.5211,1.6198,null,null,null,82.671,1493,6.672,,,,,,,,,,,53.8274,null,null,null,null,null,null,null,4,4
FC,Cutter,87.2,2.3433,5.8308,Hyun-Jin Ryu,null,foul,1,R,L,S,,,,,,,,,,,null,null,1,1,2019,0.0646,0.7625,-0.3262,3.1652,null,null,571448,1,1,Top,null,null,,,,,190922_201737,-6.5592,-126.9921,-1.9001,1.8678,22.5009,-23.6978,3.35,1.57,367,108.1,24.1,87.817,2107,6.333,,,,,,,,,,,54.1664,null,null,null,null,null,null,null,4,3
FF,4-Seam Fastball,90,2.2935,5.8844,Hyun-Jin Ryu,null,swinging_strike,12,R,L,S,,,,,,,,,,,null,null,1,0,2019,0.7553,1.1985,0.0539,3.9064,null,null,571448,1,1,Top,null,null,,,,,190922_201712,-7.2338,-130.996,-1.5452,10.2899,26.5576,-18.0484,3.35,1.57,null,null,null,90.829,2110,6.689,,,,,,,,,,,53.8101,null,null,null,null,null,null,null,4,2
FT,2-Seam Fastball,89.7,2.3826,5.8334,Hyun-Jin Ryu,null,ball,12,R,L,B,,,,,,,,,,,null,null,0,0,2019,1.3149,0.943,1.329,3.066,null,null,571448,1,1,Top,null,null,,,,,190922_201653,-5.4062,-130.5921,-2.8952,16.2195,25.9955,-20.9366,3.4915,1.5916,null,null,null,90.17,1991,6.427,,,,,,,,,,,54.0726,null,null,null,null,null,null,null,4,1
FC,Cutter,88.4,2.3444,5.8888,Hyun-Jin Ryu,field_error,hit_into_play_no_out,6,R,L,X,,,,,,,,,,,3,line_drive,1,0,2019,-0.045,0.5747,0.4682,2.3852,null,null,null,1,1,Top,151.99,162.26,,,,,190922_201614,-4.4917,-128.8519,-3.7554,0.3153,23.5693,-25.2152,3.33,1.6,118,87.7,5.4,89.096,2126,6.362,,,,,,,,,,,54.1374,0.388,0.345,0.9,1,0,0,4,3,2
FF,4-Seam Fastball,90.8,2.3898,5.8637,Hyun-Jin Ryu,null,ball,12,R,L,B,,,,,,,,,,,null,null,0,0,2019,0.9002,1.0765,0.6014,4.0497,null,null,null,1,1,Top,null,null,,,,,190922_201556,-6.4824,-132.2307,-1.0181,12.0239,25.7834,-19.287,3.4073,1.6316,null,null,null,91.89,2147,6.71,,,,,,,,,,,53.7895,null,null,null,null,null,null,null,3,1
FC,Cutter,86.7,2.456,5.8809,Hyun-Jin Ryu,home_run,hit_into_play_score,4,R,L,X,,,,,,,,,,,null,fly_ball,3,1,2019,0.0495,0.5795,-0.4051,2.2394,null,null,null,1,1,Top,87.68,29.39,,,,,190922_201515,-6.9438,-126.2253,-3.766,1.7759,22.588,-25.4517,3.38,1.6,410,101.8,25.3,87.194,2017,6.305,,,,,,,,,,,54.1942,0.84,1.475,2,1,0,3,6,2,5
FF,4-Seam Fastball,90,2.3988,5.7962,Hyun-Jin Ryu,null,called_strike,4,R,L,S,,,,,,,,,,,null,null,3,0,2019,0.917,1.0214,-0.4003,2.1866,null,null,null,1,1,Top,null,null,,,,,190922_201446,-8.9603,-130.8308,-5.2329,12.4439,25.4489,-19.4202,3.38,1.5508,null,null,null,90.788,2089,6.65,,,,,,,,,,,53.8498,null,null,null,null,null,null,null,2,4
CH,Changeup,80.9,2.5079,5.773,Hyun-Jin Ryu,null,ball,14,R,L,B,,,,,,,,,,,null,null,2,0,2019,1.0587,0.1197,1.6583,2.4557,null,null,null,1,1,Top,null,null,,,,,190922_201425,-3.9381,-117.7653,-0.9728,10.6391,23.0696,-31.0829,3.38,1.6488,null,null,null,81.098,1455,6.475,,,,,,,,,,,54.0245,null,null,null,null,null,null,null,2,3
FF,4-Seam Fastball,89.7,2.3876,5.9062,Hyun-Jin Ryu,null,ball,12,R,L,B,,,,,,,,,,,null,null,1,0,2019,0.9102,0.9956,0.2558,4.0589,null,null,null,1,1,Top,null,null,,,,,190922_201407,-7.249,-130.5474,-0.7374,11.9666,25.7666,-20.6955,3.38,1.588,null,null,null,90.409,2082,6.574,,,,,,,,,,,53.9258,null,null,null,null,null,null,null,2,2
FF,4-Seam Fastball,90.3,2.4606,5.8556,Hyun-Jin Ryu,null,ball,12,R,L,B,,,,,,,,,,,null,null,0,0,2019,0.9738,1.015,1.1409,3.8613,null,null,null,1,1,Top,null,null,,,,,190922_201349,-5.4154,-131.5179,-1.2158,12.5496,27.7007,-20.2264,3.38,1.5546,null,null,null,90.945,2104,6.617,,,,,,,,,,,53.883,null,null,null,null,null,null,null,2,1
FF,4-Seam Fastball,91.2,2.2978,5.8873,Hyun-Jin Ryu,strikeout,swinging_strike,12,R,L,S,,,,,,,,,,,2,null,3,2,2019,0.9651,1.0077,0.1091,3.5455,null,null,null,0,1,Top,null,null,,,,,190922_201315,-7.6214,-132.6105,-2.1746,13.0905,28.3756,-19.9481,3.38,1.6,null,null,null,91.548,2121,6.542,,,,,,,,,,,53.9574,null,null,0,1,0,0,null,1,7
CH,Changeup,80.1,2.4698,5.9408,Hyun-Jin Ryu,null,ball,12,R,L,B,,,,,,,,,,,null,null,2,2,2019,1.1667,0.7764,2.5755,2.8072,null,null,null,0,1,Top,null,null,,,,,190922_201254,-1.9687,-116.7176,-1.6859,11.0089,22.3251,-24.9962,3.5065,1.6452,null,null,null,80.184,1653,6.308,,,,,,,,,,,54.1912,null,null,null,null,null,null,null,1,6
CU,Curveball,74.2,2.1762,6.0563,Hyun-Jin Ryu,null,ball,12,R,L,B,,,,,,,,,,,null,null,1,2,2019,-1.1776,-0.9786,1.4066,2.7964,null,null,null,0,1,Top,null,null,,,,,190922_201236,0.466,-108.0693,2.246,-9.238,18.7586,-40.3983,3.4944,1.6612,null,null,null,74.063,2639,6.128,,,,,,,,,,,54.3711,null,null,null,null,null,null,null,1,5
FF,4-Seam Fastball,90.8,2.3697,5.9531,Hyun-Jin Ryu,null,foul,1,R,L,S,,,,,,,,,,,null,null,1,2,2019,0.8553,0.8855,-0.2866,3.1418,null,null,null,0,1,Top,null,null,,,,,190922_201211,-8.5743,-132.1543,-3.122,11.8694,25.2315,-21.1595,3.43,1.62,149,65,66.6,91.935,2073,6.727,,,,,,,,,,,53.7721,null,null,null,null,null,null,null,1,4
CH,Changeup,79.6,2.5841,5.892,Hyun-Jin Ryu,null,swinging_strike,12,R,L,S,,,,,,,,,,,null,null,1,1,2019,1.0184,0.4185,1.864,2.9626,null,null,null,0,1,Top,null,null,,,,,190922_201124,-3.4676,-115.9743,-0.5453,9.7768,19.2848,-28.5023,3.43,1.62,null,null,null,79.858,1471,6.152,,,,,,,,,,,54.3474,null,null,null,null,null,null,null,1,3
FC,Cutter,86.3,2.2996,6.0617,Hyun-Jin Ryu,null,foul,9,R,L,S,,,,,,,,,,,null,null,1,0,2019,0.2414,0.5126,0.4878,1.9168,null,null,null,0,1,Top,null,null,,,,,190922_201103,-4.7636,-125.5553,-4.7075,3.3861,22.2178,-26.1455,3.43,1.62,147,67.8,23.5,86.233,2020,5.977,,,,,,,,,,,54.5227,null,null,null,null,null,null,null,1,2
FF,4-Seam Fastball,88.4,2.4785,6.0427,Hyun-Jin Ryu,null,ball,12,R,L,B,,,,,,,,,,,null,null,0,0,2019,0.9523,0.9977,1.0927,3.5255,null,null,null,0,1,Top,null,null,,,,,190922_201045,-5.2889,-128.6317,-2.1135,11.4951,25.5133,-21.0383,3.5135,1.5648,null,null,null,87.961,2102,5.917,,,,,,,,,,,54.5821,null,null,null,null,null,null,null,1,1
FF,4-Seam Fastball,91.8,2.1885,5.6572,Hyun-Jin Ryu,strikeout,swinging_strike,2,R,L,S,,,,,,,,,,,2,null,0,2,2019,0.7184,1.1234,0.045,3.5745,null,null,null,2,7,Bot,null,null,,,,,190915_010420,-7.0679,-133.6383,-1.9225,10.226,27.8482,-18.2726,3.4928,1.7009,null,null,null,92.762,2043,6.765,,,,,,,,,,,53.7345,null,null,0,1,0,0,null,48,3
FF,4-Seam Fastball,92,2.3003,5.7122,Hyun-Jin Ryu,null,foul,4,R,L,S,,,,,,,,,,,null,null,0,1,2019,1.0128,1.0879,-0.4384,2.6536,null,null,null,2,7,Bot,null,null,,,,,190915_010348,-9.1936,-133.8062,-4.3454,14.143,26.5247,-18.2672,3.4668,1.5987,189,69.2,49.7,92.688,2014,6.545,,,,,,,,,,,53.9546,null,null,null,null,null,null,null,48,2
FC,Cutter,88.5,2.1286,5.8033,Hyun-Jin Ryu,null,foul,11,R,L,S,,,,,,,,,,,null,null,0,0,2019,-0.0252,0.5755,-1.1739,3.1027,null,null,null,2,7,Bot,null,null,,,,,190915_010318,-8.0068,-128.7756,-1.7866,1.17,23.3628,-25.586,3.4928,1.5987,null,null,null,88.987,2017,6.312,,,,,,,,,,,54.1872,null,null,null,null,null,null,null,48,1
FT,2-Seam Fastball,91.2,2.2379,5.7057,Hyun-Jin Ryu,strikeout,called_strike,11,R,L,S,,,,,,,,,,,2,null,2,2,2019,1.0308,0.7844,-0.8923,2.62,null,null,null,1,7,Bot,null,null,,,,,190915_010241,-10.0891,-132.5872,-3.5953,14.2029,25.6455,-22.3491,3.3889,1.6243,null,null,null,91.61,1950,6.374,,,,,,,,,,,54.1252,null,null,0,1,0,0,null,47,5
CU,Curveball,71.4,2.1517,5.9433,Hyun-Jin Ryu,null,called_strike,3,R,L,S,,,,,,,,,,,null,null,2,1,2019,-1.1425,-1.1331,0.7798,3.1899,null,null,null,1,7,Bot,null,null,,,,,190915_010217,-0.7881,-103.7407,4.0538,-8.0006,18.6177,-41.2184,3.2074,1.4713,null,null,null,70.885,2414,6.137,,,,,,,,,,,54.3623,null,null,null,null,null,null,null,47,4
FC,Cutter,88.6,2.1547,5.9248,Hyun-Jin Ryu,null,ball,11,R,L,B,,,,,,,,,,,null,null,1,1,2019,0.1508,0.8106,-0.1311,4.1276,null,null,null,1,7,Bot,null,null,,,,,190915_010159,-5.9676,-129.1066,-0.1126,2.8494,24.3214,-23.055,3.337,1.549,null,null,null,89.897,2002,6.797,,,,,,,,,,,53.7027,null,null,null,null,null,null,null,47,3
CH,Changeup,82.1,2.3994,5.6261,Hyun-Jin Ryu,null,foul,9,R,L,S,,,,,,,,,,,null,null,1,0,2019,0.9993,0.362,0.2925,1.6667,null,null,null,1,7,Bot,null,null,,,,,190915_010138,-6.8272,-119.5138,-3.2222,11.0392,21.1364,-28.212,3.337,1.549,5,65,-23.1,83.382,1480,6.933,,,,,,,,,,,53.5668,null,null,null,null,null,null,null,47,2
CH,Changeup,81.5,2.4211,5.5363,Hyun-Jin Ryu,null,ball,13,R,L,B,,,,,,,,,,,null,null,0,0,2019,1.3907,0.2087,-0.512,-0.0826,null,null,null,1,7,Bot,null,null,,,,,190915_010117,-9.2858,-118.2262,-6.4127,14.8654,22.0196,-29.2097,3.311,1.549,null,null,null,81.658,1678,6.516,,,,,,,,,,,53.9838,null,null,null,null,null,null,null,47,1
FF,4-Seam Fastball,91.6,2.2979,5.704,Hyun-Jin Ryu,field_out,hit_into_play,11,L,L,X,,,,,,,,,,,6,ground_ball,1,2,2019,0.8903,0.9976,-0.4584,3.5467,null,null,null,0,7,Bot,104.74,151.21,,,,,190915_005853,-8.9068,-133.179,-1.7744,12.4635,26.5459,-20.038,3.3889,1.6243,56,94,0,92.07,2099,6.457,,,,,,,,,,,54.0424,0.372,0.339,0,1,0,0,2,46,5
CH,Changeup,79.5,2.5008,5.5052,Hyun-Jin Ryu,null,foul,9,L,L,S,,,,,,,,,,,null,null,1,2,2019,1.1275,0.3145,0.2777,1.8128,null,null,null,0,7,Bot,null,null,,,,,190915_005813,-7.0668,-115.6998,-1.9738,11.5427,20.5819,-29.1415,3.311,1.5987,5,78.8,-19.4,80.266,1477,6.705,,,,,,,,,,,53.7947,null,null,null,null,null,null,null,46,4
FF,4-Seam Fastball,90.2,2.2637,5.8198,Hyun-Jin Ryu,null,ball,11,L,L,B,,,,,,,,,,,null,null,0,2,2019,0.9308,1.104,-0.3891,3.872,null,null,null,0,7,Bot,null,null,,,,,190915_005749,-8.597,-131.1775,-1.2376,12.5859,27.5944,-19.34,3.3889,1.6243,null,null,null,90.4,2022,6.431,,,,,,,,,,,54.0682,null,null,null,null,null,null,null,46,3
FT,2-Seam Fastball,88.3,2.3877,5.6677,Hyun-Jin Ryu,null,foul,6,L,L,S,,,,,,,,,,,null,null,0,1,2019,1.374,0.4737,0.4662,2.3581,null,null,null,0,7,Bot,null,null,,,,,190915_005717,-7.6724,-128.47,-3.0431,17.0497,24.6884,-26.3935,3.5188,1.7264,null,null,null,89.492,1979,6.871,,,,,,,,,,,53.629,null,null,null,null,null,null,null,46,2
CH,Changeup,77.6,2.4249,5.625,Hyun-Jin Ryu,null,swinging_strike,7,L,L,S,,,,,,,,,,,null,null,0,0,2019,0.9042,0.2939,-0.3045,1.6427,null,null,null,0,7,Bot,null,null,,,,,190915_005655,-7.5794,-112.8381,-2.1876,9.1627,19.1641,-29.4233,3.5188,1.7009,null,null,null,78.436,1382,6.768,,,,,,,,,,,53.7312,null,null,null,null,null,null,null,46,1
FF,4-Seam Fastball,91.4,2.195,5.616,Hyun-Jin Ryu,field_out,hit_into_play,12,R,L,X,,,,,,,,,,,8,fly_ball,2,2,2019,0.9051,1.0134,0.1084,3.7129,null,null,null,2,6,Bot,148.18,86.18,,,,,190915_004338,-7.324,-133.1058,-1.1783,12.4863,27.4845,-19.8254,3.3889,1.6243,274,88,46.4,92.544,1996,6.843,,,,,,,,,,,53.6561,0.002,0,0,1,0,0,3,40,5
