"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2019-09-29","94.1","-2.9294","5.7505","Francisco Lindor",596019,605452,"null","ball",,,,,12,"null","R","L","R","WSH","CLE","B","null","null",0,0,2019,"-0.2851","1.2475","0.2876","4.4854","null","null","null",1,5,"Top","null","null",,,600466,,"190929_202108","9.0481","-136.9635","-0.4084","-5.5034","28.1370","-16.3253","3.2627","1.3661","null","null","null","95.0280","2253","6.6590",565975,605452,600466,571431,572821,594694,607208,664057,645302,572191,"53.8408","null","null","null","null","null","null","null",35,"1","4-Seam Fastball",3,1,1,3,1,3,1,3,"Standard","Standard"
"CH","2019-09-29","88.2","-3.0218","5.7084","Francisco Lindor",596019,605452,"home_run","hit_into_play_score",,,,,5,"Francisco Lindor homers (32) on a fly ball to right field.  ","R","L","R","WSH","CLE","X","null","fly_ball",1,0,2019,"-1.1105","0.8039","0.1220","2.4056","null","null","null",0,3,"Top","232.57","64.64",,,435559,,"190929_194502","10.0407","-128.1619","-3.7026","-14.3177","23.2014","-22.6268","3.2400","1.5300","402","101.8","28.8","89.1820","1649","6.6990",565975,605452,435559,571431,572821,594694,607208,665742,645302,594809,"53.8010","0.805","1.510","2.00",1,0,3,6,18,"2","Changeup",1,0,0,1,0,1,0,1,"Standard","Standard"
"SI","2019-09-29","94.1","-3.0912","5.8598","Francisco Lindor",596019,605452,"null","ball",,,,,11,"null","R","L","R","WSH","CLE","B","null","null",0,0,2019,"-1.1037","0.5840","-0.9368","3.0167","null","null","null",0,3,"Top","null","null",,,435559,,"190929_194441","8.0909","-136.9694","-3.0309","-15.7066","27.6593","-24.3033","3.2340","1.3948","null","null","null","94.8940","2174","6.5440",565975,605452,435559,571431,572821,594694,607208,665742,645302,594809,"53.9557","null","null","null","null","null","null","null",18,"1","Sinker",1,0,0,1,0,1,0,1,"Standard","Standard"
"SI","2019-09-29","94.5","-2.9451","5.8459","Francisco Lindor",596019,605452,"double","hit_into_play_no_out",,,,,6,"Francisco Lindor doubles (40) on a sharp fly ball to right fielder Adam Eaton.  ","R","L","R","WSH","CLE","X",9,"fly_ball",2,0,2019,"-1.1776","1.0253","0.3159","2.2520","null","null","null",0,1,"Top","197.51","58.13",,,435559,,"190929_190801","11.2023","-137.2449","-6.0550","-17.3611","26.6879","-17.9520","3.2400","1.5300","370","100.6","35.9","95.4420","2238","6.6700",565975,605452,435559,571431,572821,594694,607208,665742,645302,594809,"53.8299","0.405","0.744","1.25",1,1,1,5,1,"3","Sinker",0,0,0,0,0,0,0,0,"Standard","Standard"
"SI","2019-09-29","95.2","-3.0587","5.8128","Francisco Lindor",596019,605452,"null","ball",,,,,13,"null","R","L","R","WSH","CLE","B","null","null",1,0,2019,"-1.1471","1.0462","-0.5641","1.0302","null","null","null",0,1,"Top","null","null",,,435559,,"190929_190729","9.1408","-138.1702","-9.3025","-16.6985","27.4081","-16.9380","3.3203","1.3374","null","null","null","95.7340","2272","6.4960",565975,605452,435559,571431,572821,594694,607208,665742,645302,594809,"54.0040","null","null","null","null","null","null","null",1,"2","Sinker",0,0,0,0,0,0,0,0,"Standard","Standard"
"SI","2019-09-29","95.8","-2.9206","5.8811","Francisco Lindor",596019,605452,"null","ball",,,,,13,"null","R","L","R","WSH","CLE","B","null","null",0,0,2019,"-1.2392","0.9636","-1.5971","2.3926","null","null","null",0,1,"Top","null","null",,,435559,,"190929_190715","6.3534","-139.4757","-5.8824","-17.7177","28.6279","-18.3883","3.3490","1.4521","null","null","null","96.7210","2305","6.5910",565975,605452,435559,571431,572821,594694,607208,665742,645302,594809,"53.9083","null","null","null","null","null","null","null",1,"1","Sinker",0,0,0,0,0,0,0,0,"Standard","Standard"
"SL","2019-09-28","83.5","2.6007","6.0664","Francisco Lindor",596019,571578,"strikeout","swinging_strike_blocked",,,,,13,"Francisco Lindor strikes out swinging.  ","R","R","L","WSH","CLE","S",2,"null",2,2,2019,"-0.3840","-0.0442","-0.2168","0.2259",623205,"null","null",2,3,"Top","null","null",,,543228,,"190928_210520","-5.7135","-121.4312","-6.9370","-2.7573","21.8842","-31.5695","3.2500","1.5400","null","null","null","83.4320","2354","6.1000",565974,571578,543228,475582,452678,543685,607208,665742,467827,594809,"54.3992","null","null","0.00",1,0,0,"null",28,"6","Slider",9,0,0,9,0,9,0,9,"Standard","Standard"
"SL","2019-09-28","83.2","2.5467","6.1111","Francisco Lindor",596019,571578,"null","foul",,,,,13,"null","R","R","L","WSH","CLE","S","null","null",2,2,2019,"-0.3052","-0.2811","-0.4836","0.6732",623205,"null","null",2,3,"Top","null","null",,,543228,,"190928_210443","-6.3450","-121.0363","-5.5324","-1.9306","20.6609","-34.1983","3.2500","1.5400","null","null","null","83.4970","2393","6.2210",565974,571578,543228,475582,452678,543685,607208,665742,467827,594809,"54.2784","null","null","null","null","null","null","null",28,"5","Slider",9,0,0,9,0,9,0,9,"Standard","Standard"
"SL","2019-09-28","84.4","2.5830","6.1276","Francisco Lindor",596019,571578,"null","foul",,,,,13,"null","R","R","L","WSH","CLE","S","null","null",2,1,2019,"-0.1546","0.0250","-0.8132","0.3862",623205,"null","null",2,3,"Top","null","null",,,543228,,"190928_210408","-7.5513","-122.6058","-7.0272","-0.1762","22.3356","-30.8546","3.2500","1.5400","null","null","null","84.1760","2485","6.0610",565974,571578,543228,475582,452678,543685,607208,665742,467827,594809,"54.4384","null","null","null","null","null","null","null",28,"4","Slider",9,0,0,9,0,9,0,9,"Standard","Standard"
"FT","2019-09-28","94.9","2.4944","6.0269","Francisco Lindor",596019,571578,"null","ball",,,,,14,"null","R","R","L","WSH","CLE","B","null","null",1,1,2019,"1.2399","0.8564","0.7212","1.2388",623205,"null","null",2,3,"Top","null","null",,,543228,,"190928_210347","-7.5786","-137.9979","-8.9306","17.8927","30.6537","-19.1741","3.3231","1.5460","null","null","null","96.0980","2338","7.0110",565974,571578,543228,475582,452678,543685,607208,665742,467827,594809,"53.4883","null","null","null","null","null","null","null",28,"3","2-Seam Fastball",9,0,0,9,0,9,0,9,"Standard","Standard"
